listing_id,date
6882615,2020-09-16
6882615,2020-09-18
6882615,2020-09-20
6882615,2020-09-30
6882615,2020-10-03
6882615,2020-10-04
6882615,2020-10-06
6882615,2020-10-16
6882615,2020-10-18
6882615,2020-10-30
4090224,2018-12-09
4090224,2018-12-14
4090224,2018-12-16
4090224,2018-12-22
4090224,2018-12-26
4090224,2018-12-31
4090224,2019-01-01
4090224,2019-01-02
4090224,2019-01-17
4090224,2019-01-22
4090224,2019-01-27
4090224,2019-02-01
4090224,2019-02-09
4090224,2019-02-10
4090224,2019-02-11
4090224,2019-02-15
4090224,2019-02-16
4090224,2019-02-17
4090224,2019-02-18
4090224,2019-02-22
4090224,2019-02-23
4090224,2019-02-24
4090224,2019-03-02
4090224,2019-03-16
210097,2016-09-28
210097,2016-10-02
210097,2016-10-10
210097,2016-10-16
210097,2016-10-23
210097,2016-10-26
210097,2016-10-31
210097,2016-11-30
210097,2017-03-09
210097,2017-04-19
210097,2017-07-04
210097,2017-07-08
210097,2017-07-20
210097,2017-07-28
210097,2017-08-06
210097,2017-08-22
210097,2017-10-09
210097,2017-10-14
210097,2017-10-21
210097,2017-11-02
210097,2017-12-24
210097,2018-02-19
210097,2018-04-13
210097,2018-04-18
210097,2018-05-11
210097,2018-05-21
210097,2018-05-26
210097,2018-06-30
210097,2018-07-09
210097,2018-07-18
210097,2018-07-24
210097,2018-08-04
210097,2018-08-19
210097,2018-08-25
210097,2018-08-29
210097,2018-09-01
210097,2018-09-05
210097,2018-10-09
210097,2018-10-16
210097,2018-10-29
210097,2018-11-01
210097,2018-11-04
210097,2018-11-12
210097,2018-11-19
210097,2018-12-09
210097,2019-02-04
210097,2019-04-03
210097,2019-04-21
210097,2019-04-27
210097,2019-05-04
210097,2019-05-13
210097,2019-05-22
210097,2019-05-28
210097,2019-06-16
210097,2019-06-27
210097,2019-07-06
210097,2019-07-12
210097,2019-07-20
210097,2019-07-29
210097,2019-08-05
4090224,2019-03-19
4090224,2019-03-20
4090224,2019-03-26
4090224,2019-03-29
4090224,2019-03-31
4090224,2019-04-02
4090224,2019-04-05
4090224,2019-04-08
4090224,2019-04-11
4090224,2019-04-23
4090224,2019-04-26
4090224,2019-05-05
4090224,2019-05-09
4090224,2019-05-10
4090224,2019-05-12
4090224,2019-05-22
4090224,2019-05-28
6882615,2020-11-04
210097,2019-08-13
210097,2019-08-21
210097,2019-08-27
210097,2019-09-07
210097,2019-09-10
210097,2019-09-21
210097,2019-09-29
210097,2019-10-05
210097,2019-10-09
210097,2019-10-13
210097,2019-10-24
210097,2019-11-08
